"JAHR","WOCHE","RAUMBEZUG","MERKMAL","WERT"
2020,52,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",142
2020,52,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",60
2020,53,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",7
2020,53,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",7
2020,53,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",100
2020,53,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",142
2020,53,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",61
2021,01,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",15
2021,01,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",10
2021,01,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",68
2021,01,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",127
2021,01,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",49
2021,02,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",6
2021,02,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",11
2021,02,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",64
2021,02,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",79
2021,02,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",23
2021,03,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",10
2021,03,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",8
2021,03,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",33
2021,03,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",65
2021,03,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",18
2021,04,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",7
2021,04,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",7
2021,04,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",34
2021,04,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",55
2021,04,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",8
2021,05,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",9
2021,05,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",2
2021,05,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",24
2021,05,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",46
2021,05,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",8
2021,06,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",1
2021,06,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",1
2021,06,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",16
2021,06,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",29
2021,06,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",6
2021,07,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",8
2021,07,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",3
2021,07,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",17
2021,07,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",48
2021,07,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",6
2021,08,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",20
2021,08,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",10
2021,08,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",21
2021,08,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",47
2021,08,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",7
2021,09,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",24
2021,09,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",14
2021,09,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",30
2021,09,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",65
2021,09,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",9
2021,10,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",28
2021,10,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",16
2021,10,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",33
2021,10,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",65
2021,10,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",8
2021,11,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",43
2021,11,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",21
2021,11,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",62
2021,11,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",127
2021,11,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",16
2021,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",39
2021,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",24
2021,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",61
2021,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",93
2021,12,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",11
2021,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",37
2021,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",24
2021,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",57
2021,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",86
2021,13,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",12
2021,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",42
2021,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",18
2021,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",89
2021,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",137
2021,14,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",15
2021,15,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",53
2021,15,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",32
2021,15,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",100
2021,15,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",139
2021,15,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",16
2021,16,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",55
2021,16,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",51
2021,16,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",90
2021,16,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",143
2021,16,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",17
2021,17,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",45
2021,17,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",25
2021,17,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",62
2021,17,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",112
2021,17,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",18
2021,18,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",46
2021,18,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",24
2021,18,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",29
2021,18,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",69
2021,18,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",12
2021,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",11
2021,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",2
2021,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 18-29",24
2021,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 30-64",29
2021,19,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 65 und mehr",5
2021,20,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 0-11",9
2021,20,"Münster gesamt","gemeldete Corona-Neunfizierungen in der Altersjahrgruppe 12-17",5
